"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,3.28332119448938,0.196215971264384,2.90996897635442,2.96737730529538,3.14893161295947,3.27941330710203,3.41345104133845,3.6125954742423,3.67888061087951
"2",3,9,2.99161658458172,0.162005120924315,2.68248171566782,2.73022189934054,2.88081048492136,2.98869273693532,3.09923553933178,3.26298492003216,3.31736682225973
"3",4,10,2.81197245126973,0.138704372096505,2.54665396231072,2.58777940924492,2.71721634477798,2.80969218634506,2.9042429219008,3.0439437733393,3.09024909909307
"4",5,11,2.69775805970193,0.121132912776983,2.46553473718273,2.50165189065674,2.61509706204919,2.69594526702073,2.77844297692138,2.90004788682844,2.94028307099276
"5",6,12,2.61235300990683,0.107006148668983,2.40680668143983,2.43887043647045,2.53940422458997,2.61089210772059,2.68370928918037,2.79081889105712,2.82620134899397
"6",7,13,2.45722923282084,0.0936129782617055,2.27715206981256,2.30530361669192,2.39345701242426,2.45604054497355,2.51970567672634,2.61320959704506,2.64406148697049
"7",8,14,2.30281433875103,0.0823484726312666,2.14422129809629,2.16905784709765,2.24674907878475,2.30183282138015,2.35780965228579,2.4399188936779,2.46698517158485
"8",9,15,2.16607551608674,0.0732267175393592,2.02491267324594,2.04705198269783,2.11624538018258,2.16525040036953,2.21500619521352,2.28791360759011,2.31192735582668
"9",10,16,1.99916375390829,0.0650328017758389,1.87371720196566,1.89341044946427,1.95492390493499,1.99845862574551,2.04263494272908,2.1073223250064,2.12861743750627
"10",11,17,1.82724595074212,0.0580151169512084,1.71529297775688,1.73287818588841,1.78778788315997,1.82663199349881,1.86603474279114,1.92370798806726,1.94268794770186
"11",12,18,1.78223761188486,0.0540320141452194,1.67789676395245,1.6943038305635,1.74550206462209,1.78169161295485,1.8183779638037,1.87203385189233,1.88968129070816
"12",13,19,1.70803131673448,0.0501495262375404,1.61114202465369,1.62638823383451,1.67394377147516,1.7075405282191,1.74158385099526,1.79134852940404,1.80770968912585
"13",14,20,1.64236877906237,0.046791323205315,1.55192856869936,1.56616920178468,1.61057097845364,1.64192443659548,1.67368219916447,1.7200840534966,1.73533412515382
"14",15,21,1.58812642548571,0.0439790938143873,1.50308824720683,1.51648622923302,1.55824585192209,1.58772048115184,1.6175644761197,1.66115133865226,1.67547152961264
"15",16,22,1.54237448852031,0.0415796296038451,1.46194672686647,1.47462524232866,1.51412951639474,1.54200086738502,1.57021217308889,1.6113981936821,1.62492548880539
"16",17,23,1.60183832379384,0.0407789197411179,1.52290087819392,1.53535832779414,1.57414799540432,1.60149229294695,1.62915144033233,1.66949866505533,1.68274221808514
"17",18,24,1.75049415475407,0.0409535346582029,1.6711380110885,1.6836806746239,1.72270009247581,1.75017479015534,1.77794007350965,1.81839701838048,1.83166520857275
"18",19,25,1.78082037337593,0.03935094256529,1.70452080658201,1.71659193650232,1.75412294351953,1.78053053469822,1.80720184586142,1.84603747767398,1.8587670593368
"19",20,26,1.82634743203288,0.0377793117745293,1.753044291169,1.76465344529938,1.80072567324509,1.82608694121643,1.85168522557666,1.88892997755338,1.90113091274504
"20",21,27,1.83669560704675,0.0358418011783429,1.76711176080255,1.77814139467638,1.81239527986311,1.83646246993661,1.86074178742063,1.89604507193308,1.9076043459089
"21",22,28,1.81947143946443,0.0336996944523855,1.75401441495553,1.76439748936837,1.79662935678259,1.81926338521096,1.84208671839172,1.87525508196429,1.88611081403321
