"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"33",34,40,1.96824052291137,0.0884658326560951,1.79864696070025,1.82502254449506,1.90787082914896,1.96691526720777,2.02716558837178,2.11597911110263,2.14536521167599
"34",35,41,1.89843845882557,0.0838181055537053,1.73769067541315,1.7627056555221,1.84125178703275,1.89720504816645,1.95428061806436,2.03837857564295,2.06619544059615
"35",36,42,1.83497152279759,0.0796309814112807,1.68219606926027,1.70598404534542,1.78065187433616,1.8338197546869,1.88803565340641,1.96788781977111,1.99429222372978
"36",37,43,1.84520462139953,0.0773550017790437,1.69668609848988,1.71983709298443,1.79245702996631,1.84412377059297,1.89677399691952,1.97425905947775,1.99986539388414
"37",38,44,1.81920444232463,0.0744550813172563,1.67618246151483,1.69849344509502,1.76844697747765,1.8181887953372,1.86885476660601,1.94337992981302,1.9679981390339
"38",39,45,1.78772490828144,0.0715662722686188,1.65019053508587,1.67165998788976,1.73894779989251,1.78677001777156,1.83546110398852,1.90704707028006,1.93068573561104
"39",40,46,1.75738131774147,0.0688772042972682,1.62495923303415,1.64564373946372,1.71044691870916,1.75648156287357,1.8033349051378,1.87218806253688,1.89491653592223
"40",41,47,1.79215508332629,0.0675924091402926,1.66210725106747,1.68244352809041,1.74611336582617,1.79130538966319,1.83727055780346,1.90476503888914,1.92703156782453
"41",42,48,1.81638693755998,0.0661050889920515,1.68911684970615,1.7090385606047,1.77137341145922,1.81558506369593,1.86052634652533,1.92647059475686,1.9482139322116
"42",43,49,1.82791902155469,0.0643457970478395,1.70396247000829,1.72338289177315,1.78411672400071,1.82716405057827,1.87089832882655,1.93503043951151,1.95616594374898
"43",44,50,1.78708427907502,0.0616970009733261,1.66819030056149,1.6868270384558,1.74509234233835,1.78637432357208,1.82830229581984,1.88976325459583,1.91001281542942
"44",45,51,1.76726273133971,0.0595405942424955,1.6524767387171,1.67048078372466,1.72674707197496,1.76659411847192,1.80704953719534,1.86632538898996,1.88584834128517
"45",46,52,1.76842135301853,0.0578645142966557,1.6568128271841,1.67433120641994,1.7290559542719,1.76779026482846,1.80709880278332,1.86466420824181,1.88361625250603
"46",47,53,1.77182481426461,0.0562838701476095,1.66321352751374,1.68027363027497,1.73354407020468,1.77122887789574,1.80945592738402,1.86540879964593,1.88382271510655
"47",48,54,1.74187149497218,0.0542220912475743,1.63720573233924,1.65365392267943,1.70499905436284,1.74130890729832,1.77813065751222,1.83200811236463,1.84973435784848
"48",49,55,1.7117503732976,0.0522565302953902,1.61084871521236,1.62671248721292,1.67622002844084,1.71121863803659,1.74670107186181,1.79860206334269,1.8156738034685
"49",50,56,1.68357204063589,0.0504416296683647,1.58614737423599,1.60147097312319,1.64928066939403,1.68306830561087,1.71731428828635,1.76739140010274,1.78385935920354
"50",51,57,1.70303113053571,0.0494307531060536,1.60751462627577,1.62254857839323,1.66943504519584,1.70255290922624,1.73610590420923,1.78514494425842,1.80126529816257
