"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7,13,3.66403231827584,0.27386263356566,3.14691411997867,3.22550211340949,3.47578511349152,3.6572114303087,3.84484486989948,4.12582983925185,4.21991031803846
"7",8,14,3.32682379300769,0.23763027092912,2.87735597148684,2.94584165047413,3.16361072830642,3.32116764321823,3.48387167883732,3.72710006483066,3.80843297095093
"8",9,15,3.03526587813381,0.208956320419911,2.63950943308496,2.69993363092865,2.89183586833419,3.03047217837165,3.17347073100822,3.38695025397658,3.45826288919964
"9",10,16,2.78167153041022,0.185858246952468,2.42929674426318,2.48318287822663,2.65415841873177,2.77753323511466,2.90467384997429,3.09427659451114,3.15756257855233
"10",11,17,2.49603311643261,0.164942511069055,2.18319593017208,2.23106329014297,2.38288979852406,2.49240082214195,2.60521718033253,2.77339329498562,2.82951119071265
"11",12,18,2.37560161836098,0.152082309589239,2.08685169065505,2.13110461271241,2.27133178075961,2.37235705032496,2.47633480678794,2.63116636293711,2.68278920231004
"12",13,19,2.25351305022662,0.140844565639164,1.98589254805688,2.02695573080669,2.15698347145701,2.25057946863871,2.34684494722708,2.49007727423763,2.53780403057176
"13",14,20,2.14913354268012,0.131279225378364,1.89950848694531,1.93785260768547,2.05919059729491,2.14646108287175,2.23616342391099,2.36953064685416,2.41394525007768
"14",15,21,2.06089052697755,0.12316176592749,1.82654304648378,1.86257737705205,1.97653624084669,2.05843760579804,2.1425710427609,2.26757095929684,2.30917712637069
"15",16,22,1.98523759786088,0.116177242955264,1.76404063378492,1.79808556346179,1.9056911340259,1.98297180538991,2.06231425964765,2.18011858464995,2.21931031582215
"16",17,23,2.08380245597318,0.11470954988539,1.86501515078023,1.89877955349699,2.00532768261797,2.08169798340131,2.15998325086068,2.27600401017526,2.31454884685036
"17",18,24,2.23517309388861,0.114361404260385,2.01662128807691,2.05045009701525,2.15701134654211,2.23322298392144,2.31120910485692,2.42654817570927,2.46480684696393
"18",19,25,2.27076461124783,0.110408353571128,2.05949675489417,2.09226176709825,2.19535216660504,2.26897544953086,2.34422675102398,2.45537051638165,2.49219982218253
"19",20,26,2.35018029334305,0.107270563405675,2.14460903004572,2.17656301379551,2.27696537708242,2.34854842533825,2.42161635350715,2.52936407666083,2.56502508370881
"20",21,27,2.38863260955713,0.10307710537548,2.19085066279745,2.22165207506004,2.31832365675772,2.38715007148208,2.45732547841692,2.5606702591456,2.59483949964349
"21",22,28,2.39107509808497,0.0981069996222776,2.2026294921386,2.23202412545344,2.32419192703921,2.3897334390443,2.45649574832318,2.55470262629005,2.58714507951163
"22",23,29,2.39470888382941,0.0933554718864519,2.21520657934305,2.24324950028959,2.33109782716633,2.39349586807588,2.45699764653506,2.55030600216034,2.58110452444216
"23",24,30,2.30965713050647,0.0871723908540261,2.14193964954143,2.16816600124041,2.25027777241265,2.30856051984188,2.36784108374739,2.45488892170784,2.48360644729133
"24",25,31,2.19081224419417,0.0808643555028238,2.03516670463529,2.05952058360544,2.13574134282357,2.18981740528333,2.24479867954149,2.32549741076126,2.35211127394032
"25",26,32,2.10626889202059,0.0758062761894209,1.96029210494713,1.98314891428574,2.05465472698963,2.10535951933627,2.15689175551508,2.23249083986657,2.25741348450831
"26",27,33,2.03153502033879,0.0714249676654533,1.8939380833245,1.91549626516349,1.98291423682858,2.03069802563619,2.07924339982581,2.15042885550187,2.1738884549614
"27",28,34,1.97284226267824,0.067707771173466,1.84235191663581,1.86280952354603,1.92676169370358,1.97206774186895,2.01807852896817,2.08551697575308,2.10773408113136
"28",29,35,1.97855923288818,0.0653734371597331,1.85248760937521,1.87227141846062,1.93408186160726,1.97783927976521,2.02225178394968,2.08730288390212,2.1087222342229
"29",30,36,1.99629790619438,0.0633505992016693,1.87404797223755,1.8932508229185,1.95321117056023,1.99562782270015,2.03865418298388,2.10163071445098,2.12235582097039
"30",31,37,1.99590217673132,0.061073614780528,1.87797986445366,1.89651863850835,1.95437614632169,1.99527927055347,2.03674917521309,2.09741051238786,2.11736437160537
"31",32,38,1.9810360867174,0.0586475081855026,1.86774228994109,1.88556662897793,1.94116981824308,1.98045737413597,2.02027149794589,2.07847959234595,2.09761862298676
"32",33,39,1.96439272802191,0.0563096760222137,1.85556448119082,1.87269824527216,1.92612485545192,1.96385471184898,2.00207410593006,2.0579224385218,2.07627844468774
